start_station_name,member_casual,number_of_rides,average_duration
Doty Ave & 111th St,casual,8,9.38749999999999
Drake Ave & Addison St,casual,388,22.176503436426117
Drake Ave & Addison St,member,398,14.567587939698493
Drake Ave & Montrose Ave,casual,398,46.60146566164154
Drake Ave & Montrose Ave,member,777,17.15866580866581
Dusable Harbor,casual,14521,39.10937033721277
Dusable Harbor,member,5290,22.255233144297417
DuSable Lake Shore Dr & Belmont Ave,casual,5636,29.75977052282943
DuSable Lake Shore Dr & Belmont Ave,member,5457,17.695149960295645
DuSable Lake Shore Dr & Diversey Pkwy,casual,5239,29.892183622828785
DuSable Lake Shore Dr & Diversey Pkwy,member,5530,16.757784810126584
DuSable Lake Shore Dr & Monroe St,casual,15485,39.36814228823593
DuSable Lake Shore Dr & Monroe St,member,4588,22.871578029642546
DuSable Lake Shore Dr & North Blvd,casual,14140,29.926941301272983
DuSable Lake Shore Dr & North Blvd,member,8979,18.04300404647882
DuSable Lake Shore Dr & Ohio St,casual,5810,35.620542168674696
DuSable Lake Shore Dr & Ohio St,member,4071,17.100528125767624
DuSable Lake Shore Dr & Wellington Ave,casual,5040,28.165419973544974
DuSable Lake Shore Dr & Wellington Ave,member,5899,17.150488783409617
DuSable Museum,casual,398,37.0356365159129
DuSable Museum,member,363,21.299770431588616
East End Ave & 87th St,casual,74,75.90585585585588
East End Ave & 87th St,member,54,13.651543209876541
Eastlake Ter & Rogers Ave,casual,743,39.713526244952895
Eastlake Ter & Rogers Ave,member,1671,14.63366247755835
Eberhart Ave & 131st St,casual,61,45.63989071038251
Eberhart Ave & 131st St,member,4,40.53750000000007
Eberhart Ave & 61st St,casual,346,48.21059730250485
Eberhart Ave & 61st St,member,77,17.050432900432902
Eberhart Ave & 91st St,casual,134,56.86940298507463
Eberhart Ave & 91st St,member,34,18.432843137254903
Eckhart Park,casual,3949,19.228965138853717
Eckhart Park,member,5860,13.527323663253696
Eggleston Ave & 69th St,casual,100,32.73366666666666
Eggleston Ave & 69th St,member,19,12.17280701754386
